,Name,Nationality,Age,Height,Stance,Weight Division,Wins,Wins By KO,"Knockout, %",Losses,Draws,Debut
550,Sivenathi Nontshinga,South Africa,26,165,orthodox,Jr Flyweight,13,10,77,2,0,2017
551,Brian Norman,United States,24,173,orthodox,Welterweight,26,20,77,0,0,2018
552,Abraham Nova,United States,30,175,orthodox,Super Featherweight,23,16,70,3,1,2016
553,Ricardo Nunez,Panama,31,168,orthodox,Lightweight,25,22,88,6,0,2010
554,Eduardo Nunez,Mexico,27,168,orthodox,Super Featherweight,27,27,100,1,0,2015
555,Tyrone Nurse,United Kingdom,34,180,orthodox,Super Lightweight,37,7,19,7,2,2008
556,Tugstsogt Nyambayar,Mongolia,32,173,orthodox,Super Featherweight,12,9,75,2,1,2015
557,Gary ‘Spike’,Ireland,40,178,orthodox,Middleweight,31,21,68,5,0,2008
558,Carlos Ocampo,Mexico,29,179,orthodox,Super Welterweight,35,23,66,3,0,2012
559,Kenichi Ogawa,Japan,36,173,orthodox,Super Featherweight,29,20,69,2,1,2010
560,Anthony Ogogo,United Kingdom,36,182,orthodox,Middleweight,11,7,64,1,0,2013
561,Yukinori Oguni,Japan,36,172,orthodox,Super Bantamweight,21,8,38,3,3,2009
562,Hiroki Okada,Japan,35,175,orthodox,Super Lightweight,19,13,68,1,0,2011
563,Lawrence Okolie,United Kingdom,32,196,orthodox,Heavyweight,21,16,76,1,0,2017
564,Anthony Olascuaga,United States,25,163,orthodox,Flyweight,8,6,75,1,0,2020
565,Jai Opetaia,Australia,29,191,southpaw,Cruiserweight,26,20,77,0,0,2015
566,Fres Oquendo,Puerto Rico,51,188,orthodox,Heavyweight,37,24,65,8,0,1997
567,Antonio Orozco,United States,37,170,orthodox,Super Lightweight,28,17,61,2,0,2008
568,Luis Ortiz,Cuba,45,193,southpaw,Heavyweight,34,29,85,3,0,2010
569,Victor Ortiz,United States,37,175,orthodox,Welterweight,32,25,78,7,3,2004
570,Jamaine Ortiz,United States,28,173,orthodox,Super Lightweight,18,9,50,2,1,2016
571,Vergil Ortiz,United States,26,178,orthodox,Super Welterweight,22,21,95,0,0,2016
572,Nordine Oubaali,France,38,163,orthodox,Bantamweight,17,12,71,1,0,2014
573,Diego Pacheco,United States,23,193,orthodox,Super Middleweight,22,18,82,0,0,2019
574,Manny Pacquiao,Philippines,46,166,southpaw,Welterweight,62,39,63,8,3,1995
575,Aston Palicte,Philippines,33,173,orthodox,Bantamweight,28,23,82,7,1,2010
576,Aleksei Papin,Russian Federation,37,185,orthodox,Cruiserweight,18,17,94,1,0,2015
577,Joseph Parker,New Zealand,32,193,orthodox,Heavyweight,35,23,66,3,0,2012
578,Zach Parker,United Kingdom,30,183,orthodox,Super Middleweight,25,18,72,1,0,2015
579,Liam Paro,Australia,28,174,southpaw,Super Lightweight,25,15,60,1,0,2016
580,Jean Pascal,Canada,42,179,orthodox,Cruiserweight,37,21,57,7,1,2005
581,Francesco Patera,Belgium,31,177,orthodox,Lightweight,29,11,38,5,0,2012
582,Logan Paul,United States,29,188,orthodox,Cruiserweight,1,0,0,1,0,2019
583,Jake Paul,United States,27,185,orthodox,Cruiserweight,11,7,64,1,0,2020
584,Brad Pauls,United Kingdom,31,178,orthodox,Middleweight,19,11,58,2,1,2016
585,Juan Carlos,Dominican Republic,40,165,southpaw,Super Bantamweight,21,9,43,5,0,2010
586,Jose Pedraza,Puerto Rico,35,174,orthodox,Lightweight,29,14,48,6,1,2011
587,Mike Perez,Cuba,39,185,southpaw,Cruiserweight,30,21,70,3,1,2008
588,Lenier Pero,Cuba,32,194,southpaw,Heavyweight,11,8,73,0,0,2019
589,Delfine Persoon,Belgium,39,175,orthodox,Super Featherweight,49,19,39,3,0,2009
590,Lamont Peterson,United States,40,175,orthodox,Welterweight,35,17,49,5,1,2004
591,Petr Petrov,Russian Federation,41,168,orthodox,Lightweight,38,19,50,6,2,2000
592,David Picasso,Mexico,24,173,orthodox,Super Bantamweight,31,17,55,0,1,2017
593,Shakan Pitters,United Kingdom,35,198,orthodox,Light Heavyweight,19,6,32,2,0,2017
594,Mike Plania,Philippines,27,166,orthodox,Featherweight,31,18,58,4,0,2014
595,Caleb Plant,United States,32,185,orthodox,Super Middleweight,23,14,61,2,0,2014
596,Konstantin Ponomarev,Russian Federation,32,178,orthodox,Welterweight,34,13,38,1,0,2010
597,Shawn Porter,United States,37,170,orthodox,Welterweight,31,17,55,4,1,2008
598,Viktor Postol,Ukraine,40,180,orthodox,Super Lightweight,31,12,39,5,0,2007
599,Alexander Povetkin,Russian Federation,45,188,orthodox,Heavyweight,36,25,69,3,1,2005
600,Panya Pradabsri,Thailand,33,158,orthodox,Jr Flyweight,44,27,61,2,0,2014
601,Hopey Price,United Kingdom,24,174,southpaw,Featherweight,12,5,42,0,0,2019
602,Lauren Price,United Kingdom,30,167,southpaw,Welterweight,8,2,25,0,0,2022
603,Isidro Ranoni,Paraguay,38,184,orthodox,Light Heavyweight,26,22,85,2,3,2009
604,Regis Prograis,United States,35,173,southpaw,Super Lightweight,29,24,83,3,0,2012
605,Ruslan Provodnikov,Russian Federation,40,168,orthodox,Super Lightweight,25,18,72,5,0,2006
606,Alberto Puello,Dominican Republic,30,175,southpaw,Super Lightweight,23,10,43,0,0,2015
607,Kubrat Pulev,Bulgaria,43,194,orthodox,Heavyweight,32,14,44,3,0,2009
608,Scott Quigg,United Kingdom,36,173,orthodox,Super Bantamweight,35,26,74,2,2,2007
609,Jason Quigley,Ireland,33,183,orthodox,Super Middleweight,20,14,70,2,0,2014
610,Peter Quillin,United States,41,180,orthodox,Middleweight,34,23,68,2,1,2005
611,Renold Quinlan,Australia,35,173,orthodox,Super Middleweight,12,8,67,4,0,2008
612,Jack Rafferty,United Kingdom,29,175,orthodox,Super Lightweight,24,15,63,0,0,2017
613,Hasim Rahman,United States,33,191,orthodox,Heavyweight,12,6,50,2,0,2017
614,Shavkatdzhon Rakhimov,Tajikistan,30,174,southpaw,Super Featherweight,17,14,82,1,1,2015
615,Gilberto ‘Zurdo’,Mexico,33,189,southpaw,Cruiserweight,47,30,64,1,0,2009
616,Jose Carlos,United States,32,178,orthodox,Super Lightweight,29,18,62,2,0,2012
617,Robeisy Ramirez,Cuba,31,168,southpaw,Featherweight,14,9,64,3,0,2019
618,Eduardo Ramirez,Mexico,31,168,southpaw,Super Featherweight,28,13,46,5,3,2010
619,John ‘Scrappy’,United States,28,163,orthodox,Super Flyweight,14,9,64,1,0,2020
620,Albert Ramirez,Venezuela,32,182,southpaw,Light Heavyweight,19,16,84,0,0,2018
621,Abel Ramos,United States,33,175,orthodox,Welterweight,28,22,79,6,3,2011
622,Jesus Ramos,United States,23,178,southpaw,Super Welterweight,21,17,81,1,0,2018
623,Hannah Rankin,United Kingdom,34,173,orthodox,Super Welterweight,13,3,23,7,0,2017
624,Ivan Redkach,Ukraine,38,179,southpaw,Super Lightweight,24,19,79,8,1,2009
625,Kiryl Relikh,Belarus,35,177,orthodox,Super Lightweight,23,19,83,3,0,2011
626,Juan Carlos,Argentina,41,157,orthodox,Flyweight,39,19,49,4,0,2004
627,Richard Riakporhe,United Kingdom,34,196,orthodox,Cruiserweight,17,13,76,1,0,2016
628,Jonathan Rice,United States,37,196,orthodox,Heavyweight,16,11,69,6,1,2014
629,Craig Richards,United Kingdom,34,185,orthodox,Light Heavyweight,18,11,61,4,1,2015
630,Lerrone Richards,United Kingdom,32,180,southpaw,Super Middleweight,18,4,22,1,0,2013
631,Guillermo Rigondeaux,Cuba,44,162,southpaw,Bantamweight,22,15,68,3,0,2009
632,Viddal Riley,United Kingdom,27,185,orthodox,Cruiserweight,12,7,58,0,0,2018
633,Brandon Rios,United States,38,173,orthodox,Welterweight,35,26,74,5,1,2004
634,Ronny Rios,United States,34,171,orthodox,Featherweight,34,17,50,5,0,2008
635,Lewis Ritson,United Kingdom,31,178,orthodox,Welterweight,23,13,57,5,0,2015
636,Michel Rivera,Dominican Republic,26,173,orthodox,Super Lightweight,26,14,54,1,0,2016
637,Lamont Roach,United States,29,170,orthodox,Super Featherweight,25,10,40,1,1,2014
638,Ray Robinson,United States,38,178,southpaw,Welterweight,24,12,50,3,2,2006
639,Alexis Rocha,United States,27,178,southpaw,Welterweight,25,16,64,2,1,2016
640,Emmanuel Rodriguez,Puerto Rico,32,168,orthodox,Bantamweight,22,13,59,3,0,2012
641,Jesse ‘Bam’,United States,24,163,southpaw,Super Flyweight,21,14,67,0,0,2017
642,Elvis Rodriguez,Dominican Republic,28,178,southpaw,Super Lightweight,17,13,76,1,1,2018
643,Jesus M,Puerto Rico,38,170,orthodox,Featherweight,27,20,74,3,2,2006
644,Miguel Roman,Mexico,39,165,orthodox,Super Featherweight,62,47,76,14,0,2003
645,Daniel Roman,United States,34,165,orthodox,Super Bantamweight,29,10,34,4,1,2010
646,Rolando ‘Rolly’,United States,29,173,orthodox,Super Lightweight,16,13,81,2,0,2016
647,Erick Rosa,Dominican Republic,24,160,orthodox,Jr Flyweight,8,2,25,0,0,2020
648,Gabriel Rosado,United States,38,182,orthodox,Super Middleweight,26,15,58,16,1,2006
649,Cristofer Rosales,Nicaragua,30,169,orthodox,Flyweight,37,22,59,7,0,2013
650,Jeison Rosario,Dominican Republic,29,180,orthodox,Middleweight,24,18,75,4,2,2013
651,Brian Rose,United Kingdom,39,183,orthodox,Super Welterweight,31,8,26,6,1,2005
652,Ryan Rozicki,Canada,29,188,orthodox,Cruiserweight,20,19,95,1,1,2016
653,Amnat Ruenroeng,Thailand,45,164,orthodox,Flyweight,20,6,30,4,0,2012
654,Hugo Ruiz,Mexico,38,176,orthodox,Super Bantamweight,39,33,85,5,0,2006
655,Andy Ruiz,United States,35,188,orthodox,Heavyweight,35,22,63,2,1,2009
656,Srisaket Sor,Thailand,38,160,southpaw,Bantamweight,58,47,81,6,1,2009
657,Gary Antonio,United States,31,168,orthodox,Bantamweight,20,13,65,1,0,2015
658,Gary Antuanne,United States,28,178,southpaw,Super Lightweight,17,17,100,1,0,2017
659,Gary Russell,United States,36,164,southpaw,Featherweight,31,18,58,2,0,2009
660,Sandy Ryan,United Kingdom,31,177,orthodox,Welterweight,7,3,43,2,1,2021
661,John Ryder,United Kingdom,36,175,southpaw,Super Middleweight,32,18,56,7,0,2010
662,Kevin Lele,France,34,173,orthodox,Super Middleweight,23,20,87,0,0,2017
663,Umar Salamov,Russian Federation,30,192,orthodox,Cruiserweight,29,21,72,2,0,2012
664,Orlando Salido,Mexico,44,168,orthodox,Super Featherweight,44,31,70,14,4,1996
665,Frank Sanchez,Cuba,32,193,orthodox,Heavyweight,24,17,71,1,0,2017
666,Ricardo Rafael,United States,25,168,orthodox,Flyweight,25,18,72,2,0,2016
667,Leo Santa,Mexico,36,171,orthodox,Super Featherweight,38,19,50,2,1,2006
668,Alejandro Santiago,Mexico,28,159,orthodox,Bantamweight,28,14,50,4,5,2012
669,Giovani Santillan,United States,33,173,southpaw,Welterweight,33,18,55,1,0,2012
670,Edwin De,Dominican Republic,25,173,southpaw,Lightweight,16,14,88,2,0,2018
671,Alex Saucedo,Mexico,30,178,orthodox,Super Lightweight,30,19,63,2,0,2011
672,Billy Joe,United Kingdom,35,180,southpaw,Super Middleweight,30,14,47,1,0,2009
673,Harry Scarff,United Kingdom,31,185,orthodox,Welterweight,13,3,23,3,0,2017
674,Andrea Scarpa,Italy,37,183,orthodox,Super Lightweight,24,11,46,6,0,2011
675,Floyd Schofield,United States,22,170,orthodox,Lightweight,18,12,67,0,0,2021
676,Tom Schwarz,Germany,30,197,orthodox,Heavyweight,26,18,69,1,0,2013
677,Ellie Scotney,United Kingdom,26,164,orthodox,Super Bantamweight,9,0,0,0,0,2021
678,Malik Scott,United States,44,193,orthodox,Heavyweight,38,13,34,3,1,2000
679,William Scull,Cuba,32,182,orthodox,Super Middleweight,23,9,39,0,0,2016
680,Lee Selby,United Kingdom,37,174,orthodox,Featherweight,28,9,32,4,0,2008
681,Andrew Selby,United Kingdom,36,168,orthodox,Flyweight,13,7,54,1,0,2015
682,Amanda Serrano,Puerto Rico,36,166,southpaw,Super Lightweight,47,31,66,3,1,2009
683,Denis Shafikov,Russian Federation,39,165,southpaw,Lightweight,40,20,50,4,2,2003
684,Archie Sharp,United Kingdom,29,175,orthodox,Super Featherweight,25,9,36,1,0,2015
685,Hamzah Sheeraz,United Kingdom,25,191,orthodox,Middleweight,21,17,81,0,0,2017
686,Claressa Shields,United States,29,173,orthodox,Light Heavyweight,15,3,20,0,0,2016
687,Yudai Shigeoka,Japan,27,161,southpaw,Minimumweight,9,5,56,1,0,2019
688,Ginjiro Shigeoka,Japan,25,154,southpaw,Minimumweight,11,9,82,1,0,2018
689,Vladimir Shishkin,Russian Federation,33,185,orthodox,Super Middleweight,16,10,63,1,0,2016
690,Beibut Shumenov,Kazakhstan,41,188,orthodox,Cruiserweight,18,12,67,2,0,2007
691,Anderson Silva,Brazil,49,188,orthodox,Light Heavyweight,2,1,50,2,0,1998
692,Callum Simpson,United Kingdom,28,191,orthodox,Super Middleweight,15,10,67,0,0,2019
693,Anthony Sims,United States,29,185,orthodox,Super Middleweight,23,20,87,2,0,2014
694,Kenneth Sims,United States,31,178,orthodox,Welterweight,21,8,38,2,1,2014
695,Vijender Singh,India,39,183,orthodox,Super Middleweight,12,8,67,0,0,2015
696,Pungluang Sor,Thailand,35,164,orthodox,Bantamweight,53,35,66,7,0,2004
697,Bradley Skeete,United Kingdom,37,185,orthodox,Super Welterweight,29,14,48,4,0,2010
698,Erik Skoglund,Sweden,33,186,orthodox,Light Heavyweight,26,12,46,1,0,2010
699,Callum Smith,United Kingdom,34,191,orthodox,Light Heavyweight,30,22,73,2,0,2012
700,Liam Smith,United Kingdom,36,176,orthodox,Middleweight,33,20,61,4,1,2008
701,Stephen Smith,United Kingdom,39,169,orthodox,Super Featherweight,25,15,60,4,0,2008
702,Paul Smith,United Kingdom,42,180,orthodox,Super Middleweight,38,22,58,7,0,2003
703,Dalton Smith,United Kingdom,27,176,orthodox,Super Lightweight,16,12,75,0,0,2019
704,Joe Smith,United States,35,183,orthodox,Cruiserweight,28,22,79,5,0,2009
705,Liborio Solis,Venezuela,42,163,orthodox,Bantamweight,37,18,49,7,1,2000
706,Michel Soro,France,37,179,orthodox,Super Welterweight,36,25,69,4,2,2008
707,Jason Sosa,United States,36,165,orthodox,Super Featherweight,23,16,70,4,4,2009
708,Elwin Soto,Mexico,28,160,orthodox,Jr Flyweight,21,13,62,3,1,2016
709,Steve Spark,Australia,28,178,orthodox,Welterweight,16,14,88,3,0,2015
710,Errol Spence,United States,34,177,southpaw,Welterweight,28,22,79,1,0,2012
711,Joseph Spencer,United States,24,178,orthodox,Middleweight,19,11,58,1,0,2018
712,Eimantas Stanionis,Lithuania,30,173,orthodox,Welterweight,15,9,60,0,0,2017
713,Curtis Stevens,United States,39,170,orthodox,Middleweight,30,22,73,7,0,2004
714,Adonis Stevenson,Canada,47,180,southpaw,Light Heavyweight,29,24,83,2,1,2006
715,Shakur Stevenson,United States,27,170,southpaw,Lightweight,22,10,45,0,0,2017
716,Bermane Stiverne,Canada,46,188,orthodox,Heavyweight,25,21,84,6,1,2005
717,Felix Sturm,Germany,45,181,orthodox,Super Middleweight,40,18,45,5,3,2001
718,Maciej Sulecki,Poland,35,185,orthodox,Super Middleweight,32,12,38,3,0,2010
719,Bruno Surace,France,26,183,orthodox,Middleweight,26,5,19,0,2,2016
720,Kamil Szeremeta,Poland,35,177,orthodox,Middleweight,25,8,32,3,2,2012
721,Artur Szpilka,Poland,35,192,orthodox,Heavyweight,22,15,68,4,0,2008
722,Andrew Tabiti,United States,35,185,orthodox,Heavyweight,20,16,80,2,0,2013
723,Pedro Taduran,Philippines,28,163,southpaw,Minimumweight,17,13,76,4,1,2015
724,Emmanuel Tagoe,Ghana,35,173,orthodox,Lightweight,32,15,47,2,0,2004
725,Carlos Takam,Cameroon,44,187,orthodox,Heavyweight,40,28,70,8,1,2005
726,Yoshiki Takei,Japan,28,170,southpaw,Bantamweight,10,8,80,0,0,2021
727,Kosei Tanaka,Japan,29,164,orthodox,Super Flyweight,20,11,55,2,0,2013
728,Masataka Taniguchi,Japan,30,162,southpaw,Jr Flyweight,19,13,68,5,0,2016
729,Marlon Tapales,Philippines,32,163,southpaw,Super Bantamweight,39,20,51,4,0,2008
730,Antonio Tarver,United States,56,188,southpaw,Light Heavyweight,31,22,71,6,1,1997
731,Edis Tatli,Finland,37,175,orthodox,Lightweight,32,10,31,3,0,2007
732,Josh Taylor,United Kingdom,33,178,southpaw,Super Lightweight,19,13,68,2,0,2015
733,Katie Taylor,Ireland,38,165,orthodox,Super Lightweight,24,6,25,1,0,2016
734,Patrick Teixeira,Brazil,34,182,southpaw,Super Welterweight,34,25,74,5,0,2009
735,Yoenis Tellez,Cuba,24,178,orthodox,Super Welterweight,9,7,78,0,0,2020
736,James Tennyson,United Kingdom,31,173,orthodox,Lightweight,28,24,86,4,0,2012
737,Jhack Tepora,Philippines,31,168,orthodox,Featherweight,23,17,74,1,0,2012
738,Kenshiro Teraji,Japan,32,165,orthodox,Flyweight,24,15,63,1,0,2014
739,Zolani Tete,South Africa,36,175,southpaw,Super Bantamweight,30,23,77,4,0,2006
740,Ashley Theophane,United Kingdom,44,170,orthodox,Super Lightweight,40,11,28,7,1,2003
741,Jordan Thompson,United Kingdom,31,198,orthodox,Cruiserweight,15,12,80,1,0,2015
742,Keith Thurman,United States,36,171,orthodox,Welterweight,30,22,73,1,0,2007
743,Jean Carlos,Puerto Rico,34,173,orthodox,Welterweight,22,17,77,1,0,2015
744,Richard Torrez,United States,25,188,southpaw,Heavyweight,12,11,92,0,0,2022
745,Austin Trout,United States,39,177,southpaw,Super Welterweight,37,18,49,5,1,2005
746,Eduard Troyanovsky,Russian Federation,44,173,orthodox,Super Lightweight,29,24,83,2,0,2009
747,Caleb Truax,United States,41,183,orthodox,Super Middleweight,31,19,61,6,2,2007
748,Seiya Tsutsumi,Japan,29,166,orthodox,Bantamweight,12,8,67,0,2,2018
749,Tim Tszyu,Australia,30,174,orthodox,Super Welterweight,24,17,71,2,0,2016
750,Nikita Tszyu,Australia,26,177,southpaw,Super Welterweight,10,8,80,0,0,2022
751,Mike Tyson,United States,58,178,orthodox,Heavyweight,50,44,88,7,0,1985
752,Takashi Uchiyama,Japan,45,173,orthodox,Super Featherweight,24,20,83,2,1,2005
753,Yordenis Ugas,Cuba,38,175,orthodox,Welterweight,27,12,44,6,0,2010
754,Izuagbe Ugonoh,Poland,38,196,orthodox,Heavyweight,18,15,83,1,0,2010
755,Alexander Ustinov,Russian Federation,48,202,orthodox,Heavyweight,34,25,74,4,0,2005
756,Oleksandr Usyk,Ukraine,37,191,southpaw,Heavyweight,23,14,61,0,0,2013
757,Jose Uzcategui,Venezuela,34,188,orthodox,Super Middleweight,32,27,84,5,0,2011
758,Oscar Valdez,Mexico,34,166,orthodox,Super Featherweight,32,24,75,3,0,2012
759,Jose Valenzuela,United States,25,173,orthodox,Super Lightweight,14,9,64,2,0,2018
760,Daniel Valladares,Mexico,29,160,orthodox,Jr Flyweight,29,17,59,4,1,2014
761,Yokasta Valle,Costa Rica,32,163,orthodox,Minimumweight,30,9,30,3,0,2014
762,Chris Van,South Africa,37,175,southpaw,Welterweight,28,12,43,3,1,2006
763,Jessie Vargas,United States,35,178,orthodox,Super Welterweight,29,11,38,4,2,2008
764,Francisco Vargas,Mexico,40,173,orthodox,Lightweight,27,19,70,4,2,2010
765,Rey Vargas,Mexico,34,172,orthodox,Featherweight,36,22,61,1,1,2010
766,Antonio Vargas,United States,28,166,orthodox,Bantamweight,19,11,58,1,0,2017
767,Fernando Vargas,United States,47,178,orthodox,Super Welterweight,26,22,85,5,0,1997
768,Fernando Vargas,United States,28,180,southpaw,Super Welterweight,14,13,93,0,0,2020
769,Miguel Vazquez,Mexico,37,178,orthodox,Lightweight,44,17,39,11,0,2006
770,Felix Verdejo,Puerto Rico,31,175,orthodox,Lightweight,27,17,63,2,0,2012
771,Simpiwe Vetyeka,South Africa,44,170,orthodox,Featherweight,30,18,60,4,0,2002
772,Guido Vianello,Italy,30,198,orthodox,Heavyweight,13,11,85,2,1,2019
773,Amilcar Vidal,Uruguay,28,183,orthodox,Middleweight,18,14,78,1,0,2018
774,Ruben Villa,United States,27,168,southpaw,Featherweight,22,7,32,2,0,2016
775,Roiman Villa,Colombia,31,170,orthodox,Welterweight,26,24,92,3,0,2015
776,Brian Viloria,United States,44,163,orthodox,Flyweight,38,23,61,6,0,2001
777,Maksim Vlasov,Russian Federation,38,192,orthodox,Light Heavyweight,46,26,57,4,0,2005
778,Mariusz Wach,Poland,45,202,orthodox,Heavyweight,38,20,53,11,0,2005
779,Otto Wallin,Sweden,34,197,southpaw,Heavyweight,27,15,56,2,0,2013
780,Liam Walsh,United Kingdom,38,171,southpaw,Lightweight,23,15,65,1,0,2008
781,Ryan Walsh,United Kingdom,38,169,orthodox,Lightweight,29,13,45,5,2,2008
782,Nico Ali,United States,24,183,orthodox,Middleweight,8,5,63,1,0,2021
783,Callum Walsh,Ireland,23,183,southpaw,Super Welterweight,12,10,83,0,0,2021
784,Nicholas Walters,Jamaica,38,170,orthodox,Lightweight,29,22,76,1,1,2008
785,Andre Ward,United States,40,183,orthodox,Light Heavyweight,32,16,50,0,0,2004
786,Martin Joseph,United Kingdom,33,173,orthodox,Super Featherweight,24,11,46,2,2,2012
787,Thomas Patrick,United Kingdom,30,168,orthodox,Featherweight,34,5,15,2,1,2012
788,Steven Ward,United Kingdom,34,188,orthodox,Cruiserweight,13,4,31,1,0,2016
789,Fabio Wardley,United Kingdom,30,196,orthodox,Heavyweight,18,17,94,0,1,2017
790,Rau’shee Warren,United States,37,164,orthodox,Bantamweight,19,5,26,4,0,2012
791,Josh Warrington,United Kingdom,34,170,orthodox,Super Featherweight,31,8,26,4,1,2009
792,Muhammad Waseem,Pakistan,37,168,orthodox,Super Bantamweight,13,9,69,2,0,2015
793,Gerald Washington,United States,42,198,orthodox,Heavyweight,20,13,65,6,1,2012
794,Ben Whittaker,United Kingdom,27,191,orthodox,Light Heavyweight,8,5,63,0,1,2022
795,Dillian Whyte,United Kingdom,36,193,orthodox,Heavyweight,31,21,68,3,0,2011
796,Deontay Wilder,United States,39,201,orthodox,Heavyweight,43,42,98,4,1,2008
797,Julian Williams,United States,34,180,orthodox,Middleweight,29,17,59,4,1,2010
798,Liam Williams,United Kingdom,32,178,orthodox,Middleweight,25,20,80,5,1,2011
799,Austin ‘Ammo’,United States,28,180,southpaw,Middleweight,17,12,71,1,0,2019
800,Thomas Williams,United States,37,185,southpaw,Light Heavyweight,20,14,70,3,0,2010
801,Troy Williamson,United Kingdom,33,180,orthodox,Super Welterweight,20,14,70,2,1,2016
802,Liam Wilson,Australia,28,176,orthodox,Super Featherweight,14,8,57,3,0,2018
803,Krzysztof Wlodarczyk,Poland,43,186,orthodox,Cruiserweight,65,44,68,4,1,2000
804,Leigh Wood,United Kingdom,36,170,orthodox,Featherweight,28,17,61,3,0,2011
805,Can Xu,China,30,175,orthodox,Featherweight,18,3,17,4,0,2013
806,Masamichi Yabuki,Japan,32,166,orthodox,Jr Flyweight,17,16,94,4,0,2016
807,Gamal Yafai,United Kingdom,33,168,orthodox,Super Bantamweight,19,11,58,3,0,2014
808,Kal Yafai,United Kingdom,35,163,orthodox,Super Flyweight,27,15,56,2,0,2012
809,Galal Yafai,United Kingdom,32,157,orthodox,Flyweight,9,7,78,0,0,2022
810,Shinsuke Yamanaka,Japan,42,171,southpaw,Bantamweight,27,19,70,2,2,2006
811,Anthony Yarde,United Kingdom,33,183,orthodox,Light Heavyweight,26,24,92,3,0,2015
812,Daniyar Yeleussinov,Kazakhstan,33,178,southpaw,Welterweight,11,6,55,0,0,2018
813,Anthony Yigit,Sweden,33,171,orthodox,Lightweight,27,10,37,4,1,2013
814,Avni Yildirim,Turkey,33,180,orthodox,Super Middleweight,21,12,57,4,0,2014
815,Tony Yoka,France,32,201,orthodox,Heavyweight,11,9,82,2,0,2017
816,Daud Yordan,Indonesia,37,170,orthodox,Super Lightweight,40,28,70,4,0,2005
817,Shuichiro Yoshino,Japan,32,175,orthodox,Lightweight,16,12,75,1,0,2016
818,Jaber Zayani,France,34,175,orthodox,Lightweight,18,11,61,0,0,2013
819,Xander Zayas,Puerto Rico,22,178,orthodox,Super Welterweight,20,12,60,0,0,2019
820,Jose Zepeda,United States,35,173,southpaw,Super Lightweight,38,29,76,5,0,2009
821,William Zepeda,Mexico,28,175,southpaw,Lightweight,32,27,84,0,0,2015
822,Michael Zerafa,Australia,32,180,orthodox,Middleweight,32,20,63,5,0,2011
823,Tyron Zeuge,Germany,32,179,orthodox,Super Middleweight,27,15,56,2,1,2012
824,Zhanat Zhakiyanov,Kazakhstan,41,170,orthodox,Bantamweight,27,18,67,2,0,2007
825,Zhilei Zhang,China,41,198,southpaw,Heavyweight,27,22,81,2,1,2014
826,Dejan Zlaticanin,Montenegro,40,163,southpaw,Super Lightweight,24,16,67,4,0,2008
827,Ellis Zorro,United Kingdom,32,193,orthodox,Cruiserweight,17,7,41,2,0,2017
828,Shiming Zou,China,43,164,orthodox,Flyweight,9,2,22,2,0,2013
